Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Anas crecca,Y,Aves,Anseriformes,,Anatidae,Anas_crecca,Eurasian Teal,omnivore,360,Eurasian teal - Wikipedia,S. maritimus seeds,fiber/foliage,3,1,transit time,,,,,,,,,906.6,124.2,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-568",,"gut, passage, time",n
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Amarynthus hybridus seeds,fiber/foliage,10,1,retention time,,,,,,600,,,214.2,11.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1177",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Elegia capensis seeds,fiber/foliage,10,1,retention time,,,,,,1800,,,102.6,36,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1178",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Panicum schizii seeds,fiber/foliage,10,1,retention time,,,,,,1200,,,188.4,35.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1179",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Persicaria lapathifolia seeds,fiber/foliage,10,1,retention time,,,,,,2160,,,310.2,27,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1180",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Stuckenia pectinata seeds,fiber/foliage,10,1,retention time,,,,,,1800,,,111.6,46.2,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1181",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Prionium serratum seeds,fiber/foliage,10,1,retention time,,,,,,1200,,,205.8,11.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1182",,time,no
Anas erthrorhyncha,Y,Aves,Anseriformes,,Anatidae,Anas_erythrorhyncha,Red-billed teal,omnivore,550,,Ruppia maritima seeds,fiber/foliage,10,1,retention time,,,,,,1200,,,145.8,11.4,,"Reynolds C, Cumming GS (2016) Seed traits and bird species influence the dispersal parameters of wetland plants. Freshwater Biology 61:1157-1183",,time,no
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,seeds,fiber/foliage,6,1,transit time,,,,,,,,,474,60,,"Charalambidou I, Santamaría L, Jansen C, Nolet BA (2005) Digestive plasticity in Mallard ducks modulates dispersal probabilities of aquatic plants and crustaceans. Functional Ecology 19:513–519",,,n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,trout chow,meat,6,1,transit time,,,,,,,,,462,78,,"Charalambidou I, Santamaría L, Jansen C, Nolet BA (2005) Digestive plasticity in Mallard ducks modulates dispersal probabilities of aquatic plants and crustaceans. Functional Ecology 19:513–520",,,n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,S. lacustris seeds,fiber/foliage,6,1,transit time,,,,,,,,,734.4,27.6,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-565",,"gut, passage, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1120,Mallard - Wikipedia,S. maritimus seeds,fiber/foliage,6,1,transit time,,,,,,,,,466.8,37.8,,"Figuerola J, Charalambidou I, Santamaria L, Green AJ (2010) Internal dispersal of seeds by waterfowl: effect of seed size on gut passage time and germination patterns. Naturwissenschaften 97:555-566",,"gut, passage, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1180,,A. machrostachyum seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,276,48,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1333",,"gut, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1180,,L. grandiflora seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,864,270,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1334",,"gut, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1180,,S. densiflora seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,336.6,54,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1335",,"gut, time",n
Anas platyrhynchos,Y,Aves,Anseriformes,,Anatidae,Anas_platyrhynchos,mallard duck,omnivore,1180,,S. vera seeds,fiber/foliage,10,1,mean retention time,,,,,,,,,684,168,,"García‐Álvarez A, van Leeuwen CH, Luque CJ, Hussner A, Vélez‐Martín A, Pérez‐Vázquez A, Green AJ, Castellanos EM (2015) Internal transport of alien and native plants by geese and ducks: an experimental study. Freshwater Biology 60:1316-1336",,"gut, time",n
