"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"280","Y","Aves","Passeriformes","Thraupidae","Saltator similis","Green winged saltator",129.9,"fiber/foliage",6,184.5,30.75,21.65,"Flying Birds"
"281","N","Reptilia","Squamata","Iguanidae","Sauromalus ater","chuckwalla",173,"fiber/foliage",3,12960,4320,57.6666666666667,"Reptilia"
"282","Y","Aves","Apodiformes","Trochilidae","Selasphorous rufus","Rufous Hummingbirds",2.5,"fruit/nectar/pollen",4,192,48,0.625,"Flying Birds"
"283","N","Mammalia","Primates","Cercopithecidae","Semnopithecus vetulus","purple-faced langur",21600,"fiber/foliage",12,44460,3705,1800,"Primates"
"284","Y","Aves","Passeriformes","Parulidae","Setophag coronata","yellow rumped warbler",11.5,"fiber/foliage",11,1353,123,1.04545454545455,"Flying Birds"
"285","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"fruit/nectar/pollen",34,1564,46,0.676470588235294,"Flying Birds"
"286","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",23,"protein",28,1750,62.5,0.821428571428571,"Flying Birds"
"287","Y","Aves","Passeriformes","Parulidae","Setophaga coronata","yellow rumped warbler",11.5,"fiber/foliage",11,1166,106,1.04545454545455,"Flying Birds"
"288","N","Mammalia","Dasyuromorphia","Dasyuridae","Sminthopsis douglasi","Julia Creek dunnart",220,"meat",36,7473.6,207.6,6.11111111111111,"Dasyuromorphia"
"289","N","Mammalia","Soricomorpha","Soricidae","Sorex palustris","water shrew",13,"protein",7,350,50,1.85714285714286,"Soricomorpha"
"290","N","Mammalia","Soricomorpha","Soricidae","Sorex palustris","water shrew",13,"meat",8,440,55,1.625,"Soricomorpha"
"291","N","Mammalia","Rodentia","Sciuridae","Spermophilus columbianus","Columbian ground squirrel",1152,"protein",12,16056,1338,96,"Rodentia"
"292","Y","Aves","Columbiformes","Columbidae","Spilopelia senegalensis","laughing dove",160.5,"fiber/foliage",6,2043,340.5,26.75,"Flying Birds"
"293","Y","Aves","Steatornithiformes","Steatornithidae","Steatornis caripensis","oilbird",324,"fruit/nectar/pollen",9,3393,377,36,"Flying Birds"
"294","Y","Aves","Passeriformes","Thraupidae","Stephanophorus diadematus","Diademed tanager",177,"fiber/foliage",9,147.6,16.4,19.6666666666667,"Flying Birds"
"295","Y","Aves","Charadriiformes","Stercorariidae","Stercorarius skua","great skua",NA,"meat",12,4351.2,362.6,NA,"Flying Birds"
"296","Y","Aves","Columbiformes","Columbidae","Streptopelia semitorquata","red-eyed doe",236,"fiber/foliage",5,2308,461.6,47.2,"Flying Birds"
"297","N","Aves","Struthioniformes","Struthionidae","Struthio camelus","common ostrich",327000,"fiber/foliage",18,33444,1858,18166.6666666667,"Non-Flying Birds"
"298","N","Aves","Palaeognathae","Struthioniformes","Struthio camelus","Ostrich",NA,"fiber/foliage",14,30000,2142.85714285714,NA,"Non-Flying Birds"
"299","Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",164.5,"fruit/nectar/pollen",10,355,35.5,16.45,"Flying Birds"
"300","Y","Aves","Passeriformes","Sturnidae","Sturnus vulgaris","European Starling",85,"protein",5,100,20,17,"Flying Birds"
"301","N","Mammalia","Artiodactyla","Suidae","Sus scrofa","Wild pig",45000,"unk",1,4200,4200,45000,"Artiodactyla"
